116	80
stone	0	0
grass	117	0
dirt	234	0
plainsGround	351	0
radiated	468	0
potassiumNitrate	585	0
ironOre	702	0
sand	819	0
snow	936	0
clay	1053	0
leadOre	1170	0
bedrock	1287	0
sandStone	1404	0
desertGround	1521	0
asphalt	1638	0
gravel	1755	0
ice	1872	0
fertileDirt	1989	0
fertileGrass	2106	0
fertileFarmland	2223	0
copperOre	2340	0
burntForestGround	2457	0
forestGround	2574	0
destroyedStone	2691	0
coalOre	2808	0
terrainFiller	2925	0
sod	3042	0
woodDebris	3159	0
oilDeposit	3276	0
woodWeakNoUpgradeMaster	3393	0
woodNoUpgradeMaster	3510	0
redWoodMaster	3627	0
treeMaster	3744	0
treeMasterGrowing	3861	0
metalNoUpgradeMaster	3978	0
stoneToAdobeMaster	0	81
concreteNoUpgradeMaster	117	81
steelMaster	234	81
rConcreteMaster	351	81
pouredConcreteMaster	468	81
concreteFormMaster	585	81
brickNoUpgradeMaster	702	81
brickMaster	819	81
adobeMaster	936	81
concreteMaster	1053	81
rScrapIronMaster	1170	81
rebarFrameMaster	1287	81
stoneMaster	1404	81
scrapIronMaster	1521	81
scrapIronFrameMaster	1638	81
rWoodMetalMaster	1755	81
rWoodMaster	1872	81
woodMaster	1989	81
woodFrameMaster	2106	81
woodFrameWedge	2223	81
woodWedge	2340	81
rWoodWedge	2457	81
rWoodMetalWedge	2574	81
scrapIronFrameWedge	2691	81
scrapIronWedge	2808	81
rScrapIronWedge	2925	81
rConcreteWedge	3042	81
rConcreteCNRRamp	3159	81
rConcreteCNRFull	3276	81
steelWedge	3393	81
woodPlate	3510	81
rWoodPlate	3627	81
rWoodMetalPlate	3744	81
scrapIronPlate	3861	81
rScrapIronPlate	3978	81
rConcretePlate	0	162
steelCNRRamp	117	162
rConcreteEighth	234	162
steelPlate	351	162
woodSupport	468	162
rWoodSupport	585	162
rWoodMetalSupport	702	162
scrapIronSupport	819	162
rScrapIronSupport	936	162
rConcreteSupport	1053	162
steelEighth	1170	162
rConcreteHalf	1287	162
steelSupport	1404	162
steelHalf	1521	162
rConcretePole	1638	162
rConcretePyramid	1755	162
steelPyramid	1872	162
woodPillar100	1989	162
scrapIronPillar100	2106	162
rScrapIronPillar100	2223	162
rConcreteQuarter	2340	162
rebarFramePillar100	2457	162
rConcretePillar100	2574	162
steelPillar100	2691	162
steelQuarter	2808	162
rConcreteStairs25	2925	162
rebarFrameBlock	3042	162
concreteFormBlock	3159	162
rConcreteBlock	3276	162
rConcreteWedgeTip	3393	162
steelWedgeTip	3510	162
brickRamp	3627	162
brickBlock	3744	162
concreteBlock	3861	162
scrapIronFrameBlock	3978	162
scrapIronFrameCNRInside	0	243
scrapIronCNRInside	117	243
rScrapIronCNRInside	234	243
scrapIronFrameCNRFull	351	243
scrapIronCNRFull	468	243
woodBlock	585	243
woodFrameRamp	702	243
woodRamp	819	243
rWoodRamp	936	243
rWoodMetalRamp	1053	243
woodFrameCNRInside	1170	243
woodCNRInside	1287	243
rWoodCNRInside	1404	243
rWoodMetalCNRInside	1521	243
woodFrameCNRFull	1638	243
woodCNRFull	1755	243
rWoodCNRFull	1872	243
rWoodMetalCNRFull	1989	243
rScrapIronCNRFull	2106	243
woodStairs25	2223	243
scrapIronStairs25	2340	243
rScrapIronStairs25	2457	243
scrapIronFrameRamp	2574	243
scrapIronRamp	2691	243
rScrapIronRamp	2808	243
rebarFrameRamp	2925	243
concreteFormRamp	3042	243
concreteRamp	3159	243
rConcreteRamp	3276	243
concreteSupport	3393	243
rConcreteCTRPlate	3510	243
rConcreteCNRInside	3627	243
rConcretePillar50	3744	243
steelCNRFull	3861	243
blueberrySeed	3978	243
plantedBlueberry3Harvest	0	324
potatoSeed	117	324
plantedPotato2	234	324
plantedPotato3Harvest	351	324
plantedBlueberry2	468	324
lootWasteland	585	324
animalGore	702	324
cntStorageHealth	819	324
greenMetalRoofCNRInside	936	324
brickPaintedIndustrialTileBlock	1053	324
concreteCNRInside	1170	324
rWoodStairs25	1287	324
cntGarageStorage	1404	324
treeSnowyGrassDiagonal	1521	324
painting01	1638	324
tileFloor3Block	1755	324
tile3Stairs50	1872	324
glassShowerBlock	1989	324
woodShinglesCNRFull	2106	324
panelingBurntRamp	2223	324
cabinWoodWedge	2340	324
cabinWoodWedgeTip	2457	324
cntMedicineCabinet	2574	324
awningGreenCNRFull	2691	324
awningRedCNRInside	2808	324
sandbagsBlock	2925	324
camoNetBlock	3042	324
camoNetRamp	3159	324
camoNetCNRFull	3276	324
rWoodBlock	3393	324
rWoodMetalBlock	3510	324
woodFrameBlock	3627	324
steelPillar50	3744	324
rock01	3861	324
rock02	3978	324
rock03	0	405
rock04	117	405
rock05	234	405
rock06	351	405
rock07	468	405
rock08	585	405
rock09	702	405
rock10	819	405
rock11	936	405
rock12	1053	405
campfire	1170	405
cookingPot	1287	405
cntOven	1404	405
oldChair	1521	405
sectionalMiddle	1638	405
sectionalCorner	1755	405
sectionalArm	1872	405
porchLight01	1989	405
porchLight04	2106	405
porchLight04Brass	2223	405
ceilingLight01	2340	405
ceilingLight02	2457	405
ceilingLight02Brass	2574	405
