OLD Block Name,Combined Shape Name,Converted On,Status,NOTES
awningBlock,awningShapes:cube,Alpha.20.0.122,Replaced,
awningCNRFull,awningShapes:rampOutsideCornerFull,Alpha.20.0.122,Replaced,
awningCNRRound,awningShapes:cornerRound,Alpha.20.0.122,Replaced,
awningCNRRoundTop,awningShapes:cubeCornerRoundTop,Alpha.20.0.122,Replaced,
awningCTRSheet,awningShapes:billboardCentered,Alpha.20.0.122,Replaced,
awningGable,awningShapes:wedgeTipHalf,Alpha.20.0.122,Replaced,
awningPyramid,awningShapes:pyramid,Alpha.20.0.122,Replaced,
awningRamp,awningShapes:ramp,Alpha.20.0.122,Replaced,
awningRampSheet,awningShapes:rampGlassSheet,Alpha.20.0.122,Replaced,
awningRampSheetCNRInside,awningShapes:rampInsideCornerSheet,Alpha.20.0.122,Replaced,
awningRampSheetEdgeLeft,awningShapes:rampGlassSheetCap2,Alpha.20.0.122,Replaced,
awningRampSheetEdgeRight,awningShapes:rampGlassSheetCap,Alpha.20.0.122,Replaced,
awningSheet,awningShapes:billboard,Alpha.20.0.122,Replaced,
brick2PlateCorner,brickShapes:plateCorner,Alpha.20.0.122,Replaced,
brickArch,brickShapes:arch,Alpha.20.0.122,Replaced,
brickArchCurveBase,brickShapes:archCurveBase,Alpha.20.0.122,Replaced,
brickArchCurveFiller,brickShapes:archCurveFiller,Alpha.20.0.122,Replaced,
brickArchCurveMiddle,brickShapes:archCurveMiddle,Alpha.20.0.122,Replaced,
brickArchCurveTop,brickShapes:archCurveTop,Alpha.20.0.122,Replaced,
brickArchCurveTopMiddle,brickShapes:archCurveTopMiddle,Alpha.20.0.122,Replaced,
brickArchCurveTopMiddleTopper,brickShapes:archCurveTopMiddleTopper,Alpha.20.0.122,Replaced,
brickArchCurveWall,brickShapes:archCurveWall,Alpha.20.0.122,Replaced,
brickArchCurveWallCap,brickShapes:archCurveWallCap,Alpha.20.0.122,Replaced,
brickBlock,brickShapes:cube,Alpha.20.0.122,Replaced,
brickBlockBaseboard1,brickShapes:cubeBaseboard,Alpha.20.0.122,Replaced,
brickBlockBaseboard4,brickShapes:cubeBaseboard4Sided,Alpha.20.0.122,Replaced,
brickBlockBaseboardChairRail1,brickShapes:cubeBaseboardChairRail,Alpha.20.0.122,Replaced,
brickBlockBaseboardChairRail4,brickShapes:cubeBaseboardChairRail4Sided,Alpha.20.0.122,Replaced,
brickBlockHalfTrimHalfSplit,brickShapes:halfTrimSplit,Alpha.20.0.122,Replaced,Deprecated block that will be replaced during conversion
brickBlockTileBroken01,brickShapes:cubeTileBroken,Alpha.20.0.122,Replaced,
brickBlockTrimCNRRound,brickShapes:cubeTrimCornerRound,Alpha.20.0.122,Replaced,
brickBlockTrimCornerRound1m,brickShapes:cubeTrimCornerRound,Alpha.20.0.122,Replaced,Deprecated block that will be replaced during conversion
brickBlockTrimHalfSplit,brickShapes:cubeTrimHalfSplit,Alpha.20.0.122,Replaced,
brickBlockTrimHalfSplit4Sided,brickShapes:cubeTrimHalfSplit4Sided,Alpha.20.0.122,Replaced,
brickBlockTrimHalfSplitDiagonal,brickShapes:cubeTrimHalfSplitDiagonal,Alpha.20.0.122,Replaced,
brickBlockTrimQuarterCornerInside,brickShapes:cubeTrimQuarterCornerInside,Alpha.20.0.122,Replaced,
brickBlockTrimQuarterCornerInsideTriangle,brickShapes:cubeTrimQuarterCornerInsideTriangle,Alpha.20.0.122,Replaced,
brickBlockTrimQuarterCornerOutside,brickShapes:cubeTrimQuarterCornerOutside,Alpha.20.0.122,Replaced,
brickBlockTrimQuarterCornerOutside2Sided,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,Alpha.20.0.122,Replaced,
brickBlockTrimQuarterEdge,brickShapes:cubeTrimQuarterEdge,Alpha.20.0.122,Replaced,
brickBlockTrimQuarterEdge2Sided,brickShapes:cubeTrimQuarterEdgeTwoSided,Alpha.20.0.122,Replaced,
brickBlockTrimQuarterEdgeDouble,brickShapes:cubeTrimQuarterEdgeDouble,Alpha.20.0.122,Replaced,
brickRampTrimQuarter,brickShapes:cubeTrimQuarterRamp,Alpha.20.0.122,Replaced,Deprecated block that will be replaced during conversion
brickCNRFull,brickShapes:rampOutsideCornerFull,Alpha.20.0.122,Replaced,
brickCNRInside,brickShapes:rampInsideCornerFull,Alpha.20.0.122,Replaced,
